slug,id,sofascore_id
dawid-szot,545673,976880
konrad-gruszkowski,579448,1085320
lukasz-burliga,92590,39441
patryk-plewka,495237,941616
david-mawutor,548701,875699
vullnet-basha,56324,23393
kacper-duda,555067,1031256
georgiy-zhukov,235755,152124
chuca,399779,892681
nikola-kuveljic,612140,948694
david-niepsuj,184849,539968
jean-carlos-silva,282434,
stefan-savic,120192,138144
piotr-starzynski,555060,1099177
michal-mak,143976,120944
rafal-boguski,36858,39445
yaw-yeboah,358985,796323
jakub-blaszczykowski,29835,18379
aleksander-buksa,553757,981644
zan-medved,340425,841702
fatos-beqiraj,66784,44309
zlatan-alomerovic,47594,102982
dusan-kuciak,31886,29301
antoni-mikulko,826506,1104084
eryk-mirus,699438,1101182
michal-nalepa,175947,95351
bartosz-kopacz,153306,136155
kristers-tobers,448883,858677
mario-maloca,48873,51133
conrado,514674,882662
rafal-pietrzak,74722,95438
zarko-udovicic,86936,795938
karol-fila,385817,871041
joseph-ceesay,364278,841113
rafal-kobryn,453900,933798
filip-koperski,825583,1103040
tomasz-makowski,320961,843377
jan-bieganski,566355,935966
jakub-kaluzinski,699418,
kacper-urbanski,699442,1012383
mykola-musolitin,383229,838817
jaroslaw-kubicki,327756,559968
maciej-gajos,236891,252951
egzon-kryeziu,469693,887494
mateusz-sopocko,432044,939846
kenny-saief,209019,594972
omran-haydary,415993,893361
jaroslav-mihalik,181620,288865
mateusz-zukowski,470375,993996
egy-maulana-vikri,548371,941547
lukasz-zwolinski,220740,227598
flavio-paixao,123455,78646
frantisek-plach,404345,830543
jakub-szmatula,29537,45340
karol-szymanski,266269,381816
jakub-czerwinski,143282,116958
tomas-huk,181612,134910
piotr-malarczyk,120892,72021
michal-zachcial,860550,
mikkel-kirkeskov,96331,98953
jakub-holubek,192731,112095
arkadiusz-pyrka,599733,971481
martin-konczkowski,258799,273221
bartosz-rymaniak,81257,72364
tomasz-mokwa,266250,345986
maksym-gendera,527609,
remigiusz-borkala,470054,942846
patryk-sokolowski,284871,889644
sebastian-milewski,374562,801113
patryk-lipski,255392,770285
tomasz-jodlowiec,27261,43112
javier-hyjek,536846,997110
michal-rakowiecki,535769,
mateusz-winciersz,596474,
michal-chrapek,117683,67600
tiago-alves,451857,845813
kristopher-vida,164837,227460
gerard-badia,95430,
jakub-swierczok,193554,158055
piotr-parzyszek,155202,123875
dominik-steczyk,344415,940051
michal-zyro,67431,101754
karol-stanek,452672,
krzysztof-kaminski,172874,129391
jakub-wrabel,273533,336221
bartlomiej-gradecki,520503,887472
karol-szymkowiak,531460,1145723
michal-oczkowski,902904,1141998
alan-uryga,187945,138601
damian-michalski,385518,841409
dusan-lagator,246831,207706
milan-obradovic,528040,889437
jakub-rzezniczak,24576,
julio-rodriguez,238726,1022021
bartlomiej-sielewski,64463,72454
angel-garcia,246278,808992
piotr-tomasik,84918,
damian-zbozien,53742,112022
pawel-zuk,407733,987586
mateusz-szwoch,199302,186003
damian-rasak,255910,833847
filip-lesniak,186383,325119
maciej-ambrosiewicz,452447,846753
jakub-witek,790405,1035352
kacper-kondracki,747654,1021226
kristian-vallo,389621,813059
aleksander-pawlak,725654,1012402
bartosz-zynek,509589,1108383
dawid-kocyla,605780,
rafal-wolski,176514,137135
piotr-pyrdol,385053,921482
hubert-adamczyk,287235,829030
wojciech-szumilas,315834,844978
fryderyk-gerbowski,554277,1082232
dawid-krzyzanski,884505,1141978
luka-susnjara,334724,836631
torgil-gjertsen,261115,548624
giorgi-merebashvili,55978,37105
kacper-rogozinski,551959,1000704
patryk-tuszynski,110856,71075
mateusz-lewandowski,438351,
cillian-sheridan,14641,21130
adrian-szczutowski,536293,1021414
airam-cabrera,129149,
michal-szromnik,181135,95359
matus-putnocky,74921,57982
dariusz-szczerbal,450355,
bartlomiej-frasik,528355,1113203
milosz-tysiak,625631,1067327
mark-tamas,260073,
israel-puerto,126748,96374
wojciech-golla,161314,139151
konrad-poprawa,385052,887691
lukasz-bejger,554969,966651
piotr-celeban,29509,45043
mariusz-pawelec,29818,45452
olivier-wypart,605745,1094921
dino-stiglec,100591,
lubambo-musonda,333859,787465
patryk-janasik,397854,889645
guillermo-cotugno,311739,590114
bartosz-borun,451198,984806
szymon-lewkot,384789,1067326
mathieu-scalet,384844,913578
marcin-szpakowski,605748,1006857
jakub-labojko,387529,
rafal-makowski,300425,798368
krzysztof-maczynski,51337,39450
maciej-palaszewski,379868,798075
przemyslaw-bargiel,345460,839344
mateusz-mackowiak,407564,1034268
mateusz-praszelik,374418,863022
robert-pich,109742,63416
marcel-zylla,336330,901884
adrian-lyszczarz,384791,842341
bartlomiej-pawlowski,153667,119859
waldemar-sobota,110852,71072
piotr-samiec-talar,598448,941964
erik-exposito,483461,868122
fabian-piasecki,255401,796657
sebastian-bergier,384337,913575
adrian-lis,131321,72409
daniel-bielica,463233,939460
jan-wojnowski,390925,943376
leo-przybylak,801237,1091318
aleks-lawniczak,425739,997532
robert-ivanov,373876,
bartosz-kieliba,266234,921495
adrian-laskowski,146317,111096
maik-nawrocki,407745,984183
filip-malek,781661,1046666
nikodem-fiedosewicz,375290,921500
jan-grzesik,264278,844913
mateusz-spychala,293057,846721
mateusz-kupczak,237523,120927
lukasz-tralka,29538,44957
michal-kopczynski,235977,792087
jakub-kuzdra,372280,798709
bartlomiej-burman,407080,1101159
jakub-kielb,181119,586132
michal-jakobowski,224176,580894
robert-janicki,366229,845746
gracjan-jaroch,297217,846675
konrad-handzlik,297216,571314
mariusz-rybicki,215124,221956
kajetan-szmyt,658730,984137
makana-baku,336974,886328
mateusz-czyzycki,385479,844917
mario-rodriguez,251888,838635
dominik-smykowski,781660,1033256
mateusz-kuzimski,381891,942342
adam-zrelak,261155,315162
rafal-straczek,447343,882644
michal-gliwa,42056,45401
damian-primel,133124,250523
mateusz-dudek,687439,1009468
bozhidar-chorbadzhiyski,271399,
mateusz-zyro,297234,
marcin-flis,187973,138596
mateusz-matras,153992,120921
jonathan-de-amo,132919,325637
kamil-koscielny,281332,801170
mateusz-bodzioch,120880,996524
wojciech-blyszko,454377,
wojciech-lisowski,182953,153039
adrian-skrzyniak,748292,1022157
albin-granlund,146907,114364
martin-sus,81981,46921
lukasz-seweryn,555573,1009469
grzegorz-tomasiewicz,240458,792141
maciej-urbanczyk,255423,365920
michael-wyparlo,858521,
damian-pawlowski,320741,938661
robert-dadok,351796,856130
przemyslaw-maj,844746,1092746
krystian-getinger,69516,140643
maciej-domanski,281376,801019
mateusz-mak,143975,120942
petteri-forsell,73908,
szymon-stasik,385485,992266
andreja-prokic,188993,338803
adam-kramarz,600169,1034071
lukasz-zjawinski,401608,910044
maciej-jankowski,154076,123415
aleksandar-kolev,239527,257159
pawel-tomczyk,388953,864010
kacper-sadlocha,554977,936503
jakub-wrobel,253154,307718
bartosz-bajorek,655590,1030781
rafal-leszczynski,120970,72255
martin-polacek,90954,128020
arkadiusz-leszczynski,401898,943497
krystian-wieczorek,858902,1139663
milan-rundic,182185,153552
kornel-osyra,148266,95360
aleksander-komor,253668,303596
szymon-mroczko,614406,1031027
dmytro-bashlay,92030,976984
michal-batelt,782962,1046213
lukasz-sierpina,119941,120896
kacper-gach,514939,936876
filip-modelski,79190,121265
bartosz-jaroch,261874,580904
jakub-bieronski,617431,982766
michal-rzuchowski,237356,256491
adrian-rakowski,171158,
gergo-kocsis,179641,254163
rafal-figiel,118594,116956
jakub-hora,108007,71699
filip-laskowski,597621,991322
marco-tulio,525086,1134387
dominik-frelek,608932,
desley-ubbink,272718,252319
mateusz-marzec,331278,891707
tomasz-nowak,46840,
sergiy-myakushko,193158,
konrad-gutowski,450044,862159
maksymilian-sitek,532428,956035
karol-danielak,178222,140637
kamil-bilinski,95197,45465
peter-wilson,258501,1419467
marko-roginic,317504,814452
ivan-martin,339752,813524
bartlomiej-krecichwost,557566,1114364
daniel-kajzer,255385,338331
kacper-krzepisz,400871,940856
andrzej-witan,144373,158067
bartosz-przybysz,463117,926006
michal-marcjanik,278690,337989
arkadiusz-kasperkiewicz,315511,539210
adam-marciniak,41892,45002
haris-memic,276035,583522
adam-danch,48337,44911
jan-hosek,103892,148895
daniel-chmielnicki,454813,1033050
kamil-skreta,694432,1117615
luis-valcarce,288459,345013
kacper-tomczak,694435,1033532
damian-slesicki,466942,1049610
pawel-sasin,29854,
adam-deja,257244,171149
szymon-drewniak,109930,95354
mikolaj-labojko,603304,1067025
lukasz-soszynski,385207,989447
mateusz-stepien,555112,980471
jakub-wawszczyk,297231,801304
fabian-hiszpanski,194139,852461
juliusz-letniowski,384659,843378
christian-aleman,263792,339563
dawid-markiewicz,529414,1030654
patryk-soboczynski,793885,1036148
mateusz-mlynski,512294,945392
kamil-mazek,241847,338751
artur-siemaszko,208170,842342
marcus-vinicius,135183,123632
bartosz-boniecki,454384,1020582
mateusz-zebrowski,238535,336737
kacper-skora,699698,1093982
rafal-wolsztynski,356514,814855
jakub-wilczynski,549803,997412
mateusz-kochalski,404055,851249
mateusz-kryczka,240451,316350
filip-majchrowicz,528402,926007
jan-szpaderski,450892,1104876
wiktor-koptas,790524,
raphael-rossi,290271,347186
mateusz-cichocki,236235,303484
maciej-swidzikowski,53736,586338
lukasz-wiech,363254,
muhammad-cande,166379,
dominik-sokol,532377,956669
damian-jakubik,196387,220785
michal-kaput,385759,971418
filipe-nascimento,197999,190143
meik-karwot,93642,148254
mateusz-lewandowski,173339,95363
dominik-stepien,790519,1034832
adam-banasiak,92296,114255
artur-bogusz,260224,95350
milosz-kozak,208168,994334
mateusz-radecki,264872,586362
patryk-mikita,235978,335973
amancio-fortes,353630,842583
athanasios-scheidt,489161,1085803
damian-gaska,354821,789718
alain-richard-ebwelle,166667,
dominik-banach,855132,1117620
leandro,264870,
milan-kvocera,464800,852104
jakub-nowakowski,622369,
karol-angielski,253290,297324
marcel-szymanski,618413,1063006
morimakan-diane,822404,1088874
jakub-podsiadlo,805470,1117668
dawid-arndt,572949,943369
arkadiusz-malarz,24515,17407
michal-kot,623576,1101886
aleksander-bobek,795231,1046219
daniel-celea,442329,840041
jan-sobocinski,320747,
carlos-moros,498223,877182
maciej-dabrowski,45415,140650
maciej-dampc,326902,563648
oskar-koprowski,385041,920690
adrian-klimczak,383027,907211
tadej-vidmajer,179063,147696
jowin-radzinski,530567,1089664
maciej-wolski,384664,834983
kamil-dankowski,255085,313054
mateusz-bakowicz,657609,1089663
marcel-wszolek,554973,1019027
maksymilian-rozwandowicz,288537,536962
jakub-tosik,32306,44812
mikkel-rygaard,51349,801073
dragoljub-srnic,169211,267427
artur-sojka,585809,1030384
antonio-dominguez,288453,348384
michal-trabka,288542,921446
ricardinho,106041,148407
przemyslaw-sajdak,493877,943496
piotr-gryszkiewicz,540717,1062971
kelechukwu-ibe-torti,607450,1062970
dariusz-gmosinski,514523,1117586
pirulo,216424,811652
tomasz-nawotka,292386,850784
jakub-romanowicz,465499,1084063
samuel-corral,447550,
lukasz-sekulski,80769,111129
piotr-janczukowicz,496093,992265
