id,slug,team,height,preferredFoot,marketValue
133544,rafal-janicki,gornik-zabrze,188,Right,415000
981743,daniel-hoyo-kowalski,,,,
1126583,kamil-glogowski,hutnik-krakow,184,Right,24000
139210,dawid-abramowicz,radomiak-radom,186,Left,425000
,krystian-wachowiak,,,,
976880,dawid-szot,,,,
1085320,konrad-gruszkowski,,,,
39441,lukasz-burliga,no-team,186,Right,145000
941616,patryk-plewka,chrobry-glogow,174,Right,79000
875699,david-mawutor,,,,
23393,vullnet-basha,wisla-krakow,176,Right,46000
1031256,kacper-duda,,,,
152124,georgiy-zhukov,,,,
892681,chuca,racing-de-ferrol,181,Right,515000
948694,nikola-kuveljic,fk-tsc-backa-topola,194,Left,850000
539968,david-niepsuj,wisla-plock,182,Right,145000
,jean-carlos-silva,,,,
138144,stefan-savic,warta-poznan,169,Right,360000
1099177,piotr-starzynski,gornik-leczna,173,Right,315000
120944,michal-mak,wieczysta-krakow,172,Right,160000
39445,rafal-boguski,no-team,173,Right,
796323,yaw-yeboah,columbus-crew,175,Left,2200000
18379,jakub-blaszczykowski,wisla-krakow,176,Right,
981644,aleksander-buksa,,,,
841702,zan-medved,fc-kosice,185,Right,215000
44309,fatos-beqiraj,no-team,183,Right,
102982,zlatan-alomerovic,jagiellonia-bialystok,187,Right,510000
29301,dusan-kuciak,ks-lechia-gdansk,194,Right,48000
1104084,antoni-mikulko,ks-lechia-gdansk,189,,46000
1101182,eryk-mirus,,,,
95351,michal-nalepa,zaglebie-lubin,190,Right,275000
136155,bartosz-kopacz,zaglebie-lubin,188,Right,430000
858677,kristers-tobers,grasshopper-club-zurich,188,Right,665000
51133,mario-maloca,hnk-gorica,190,Right,155000
882662,conrado,,,,
95438,rafal-pietrzak,wieczysta-krakow,176,Both,235000
795938,zarko-udovicic,fk-mladost-lucani,185,Right,48000
871041,karol-fila,rc-strasbourg,183,Right,825000
841113,joseph-ceesay,malmo-ff,178,Right,640000
933798,rafal-kobryn,olimpia-grudziadz,183,Right,45000
1103040,filip-koperski,,,,
843377,tomasz-makowski,zaglebie-lubin,178,Right,585000
935966,jan-bieganski,ks-lechia-gdansk,183,Left,385000
,jakub-kaluzinski,,,,
1012383,kacper-urbanski,bologna,178,Right,4099999
838817,mykola-musolitin,ostersunds-fk,175,Right,140000
559968,jaroslaw-kubicki,jagiellonia-bialystok,179,Right,500000
252951,maciej-gajos,persija-jakarta,174,Right,210000
887494,egzon-kryeziu,gornik-leczna,180,Right,315000
939846,mateusz-sopocko,sokol-kleczew,175,Right,52000
594972,kenny-saief,maccabi-haifa,176,Both,580000
893361,omran-haydary,fc-samtredia,171,Right,220000
288865,jaroslav-mihalik,no-team,180,Right,155000
993996,mateusz-zukowski,slask-wroclaw,185,Right,470000
941547,egy-maulana-vikri,dewa-united-fc,168,Left,240000
227598,lukasz-zwolinski,rakow-czestochowa,182,Right,500000
78646,flavio-paixao,no-team,185,Both,
830543,frantisek-plach,piast-gliwice,192,Right,480000
45340,jakub-szmatula,piast-gliwice,187,Right,
381816,karol-szymanski,piast-gliwice,191,Right,145000
116958,jakub-czerwinski,piast-gliwice,183,Right,415000
134910,tomas-huk,piast-gliwice,183,Right,240000
72021,piotr-malarczyk,mks-korona-kielce,189,Right,270000
,michal-zachcial,,,,
