id,season,title,league_href,matches,goals,own_goal,from_bench,changes,yellow_card,two_yellow_card,red_card,lose_goals,clean_sheet,minutes
258233,2017/2018,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,1,0,1,0,0,0,0,0,2,0,120
258233,2017/2018,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
258233,2016/2017,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,1,0,0,0,0,0,0,0,1,0,90
258233,2016/2017,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,1,0,0,0,0,0,0,0,1,0,90
258233,2016/2017,Kwalifikacje do Ligi Europy,/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,0,0,0,0,0,0,0,0,0,0,0
258233,2015/2016,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,1,0,0,1,0,0,0,0,0,1,44
258233,2015/2016,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
258233,2014/2015,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,4,0,0,0,0,0,0,0,6,0,390
258233,2014/2015,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,1,0,0,0,0,0,0,0,0,1,90
258233,2013/2014,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,12,0,0,0,0,0,0,0,20,1,1080
258233,2013/2014,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,3,0,0,0,0,0,0,0,4,1,300
258233,2012/2013,2 Liga - Grupa wschodnia,/2-liga-ost/startseite/wettbewerb/PL3W,30,0,0,0,1,4,0,0,31,11,2655
320897,2023/2024,2nd Division,/b-kategoria/startseite/wettbewerb/CYP2,15,0,0,0,0,1,0,0,14,6,1350
320897,2023/2024,Premier Division,/premier-league/startseite/wettbewerb/IR1,5,0,0,0,0,0,0,0,7,1,450
320897,2023/2024,2nd Division Prom.,/2-division-promotion-round/startseite/wettbewerb/1CY2,3,0,0,0,0,0,0,0,1,2,270
320897,2022/2023,2nd Division,/b-kategoria/startseite/wettbewerb/CYP2,15,0,0,0,0,2,0,0,18,3,1350
320897,2022/2023,2nd Division Releg.,/2-division-relegation-round/startseite/wettbewerb/2CYP,12,0,0,0,0,1,0,0,13,6,1080
320897,2022/2023,Kypello Kyprou,/kypello-kyprous/startseite/pokalwettbewerb/CPO1,1,0,0,0,0,0,0,0,1,0,90
320897,2021/2022,Liga Konferencji,/uefa-europa-conference-league/startseite/pokalwettbewerb/UCOL,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Kwalifikacje do Ligi Europy,/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Kwalifikacje do Ligi Mistrzow,/uefa-champions-league-qualifikation/startseite/pokalwettbewerb/CLQ,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Protathlima Cyta Relegation Round,/protathlima-cyta-abstiegsrunde/startseite/wettbewerb/ZYPA,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Kypello Kyprou,/kypello-kyprous/startseite/pokalwettbewerb/CPO1,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Cypriot Super Cup,/zyprischer-super-cup/startseite/pokalwettbewerb/CYSC,0,0,0,0,0,0,0,0,0,0,0
320897,2021/2022,Protathlima Cyta,/protathlima-cyta/startseite/wettbewerb/ZYP1,0,0,0,0,0,0,0,0,0,0,0
320897,2020/2021,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,9,0,0,1,0,0,0,0,14,2,764
320897,2020/2021,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
320897,2020/2021,Protathlima Cyta Championship Round,/protathlima-cyta-meisterrunde/startseite/wettbewerb/ZYPM,0,0,0,0,0,0,0,0,0,0,0
320897,2019/2020,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,5,0,0,0,0,0,0,0,9,0,450
320897,2019/2020,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
320897,2018/2019,3 Liga - Grupa IV,/3-liga-gruppe-iv/startseite/wettbewerb/PL34,9,0,0,0,0,0,0,0,15,0,810
320897,2018/2019,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
320897,2018/2019,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
320897,2018/2019,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,0,0,0,0,0,0,0,0,0,0,0
320897,2017/2018,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,19,0,0,0,0,0,0,0,19,9,1710
320897,2017/2018,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
320897,2017/2018,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
320897,2016/2017,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,19,0,0,0,0,1,0,0,27,3,1710
320897,2015/2016,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,13,0,0,0,1,0,0,0,13,4,1143
587602,2023/2024,3 Liga - Grupa IV,/3-liga-gruppe-iv/startseite/wettbewerb/PL34,18,0,0,0,0,3,0,0,30,3,1620
587602,2021/2022,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,1,0,0,0,0,0,0,0,2,0,90
587602,2021/2022,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
587602,2020/2021,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,7,0,0,0,0,0,0,0,9,1,630
587602,2020/2021,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,1,0,0,0,0,0,0,0,1,0,90
587602,2020/2021,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,0,0,0,0,0,0,0,0,0,0,0
587602,2019/2020,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,3,0,0,0,0,0,0,0,3,1,270
587602,2019/2020,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
587602,2019/2020,Baraze o udzial w 1 lidze,/baraze-o-udzial-w-1-lidze/startseite/wettbewerb/BAPL,0,0,0,0,0,0,0,0,0,0,0
