id,slug,name,place_of_birth,brith_date,nationality,height,position,manager
226082,petar-mamic,Petar Mamic,Zagreb,6.03.1996,Chorwacja,1.83,Lewy obronca,VPA SPORTS ...
168957,marko-poletanovic,Marko Poletanovitsh,Novi Sad,20.07.1993,Serbia,1.87,Defensywny pomocnik,
380597,igor-sapala,Igor Sapala,Kartuzy,,Polska,1.87,Defensywny pomocnik,INNfootball
448058,giannis-papanikolaou,Giannes Papanikolaou,Marousi,18.11.1998,Grecja,1.82,Defensywny pomocnik,E.C.Dimitriadis ...
366929,ben-lederman,Ben Lederman,"Los Angeles, ...",8.05.2000,Polska,1.78,Defensywny pomocnik,BMG-SPORT
208591,petr-schwarz,Petr Schwarz,Nachod,12.11.1991,Czechy,1.74,Srodkowy pomocnik,
555056,iwo-kaczmarski,Iwo Kaczmarski,Kielce,16.04.2004,Polska,1.83,Srodkowy pomocnik,
343158,fran-tudor,,Zagreb,27.09.1995,Chorwacja,1.73,Prawy pomocnik,MSports PRO
566350,daniel-szelagowski,Daniel Szelagowski,Kielce,2.09.2002,Polska,1.79,Prawy pomocnik,
453156,wiktor-dlugosz,Wiktor Dlugosz,Kielce,1.07.2000,Polska,1.83,Prawy pomocnik,
47280,piotr-malinowski,,Czestochowa,24.03.1984,Polska,1.70,Prawy pomocnik,
252608,patryk-kun,Patryk Kun,Gizycko,20.04.1995,Polska,1.65,Lewy pomocnik,
109541,daniel-bartl,,Ostrava,5.07.1989,Czechy,1.83,Lewy pomocnik,
676250,piotr-owczarek,Piotr Owczarek,Warszawa,,Polska,1.86,Lewy pomocnik,
351792,david-tijanic,David Tijanic,Ljubljana,16.07.1997,Slowenia,1.74,Ofensywny pomocnik,FairSport
282371,ivi-lopez,Ivan Lopez Alvarez,Madrid,29.06.1994,Hiszpania,1.74,Ofensywny pomocnik,
239215,marcin-cebula,Marcin Cebula,Staszow,6.12.1995,Polska,1.77,Ofensywny pomocnik,INNfootball
321240,milosz-szczepanski,Milosz Szczepanski,Nowy Sacz,22.03.1998,Polska,1.68,Ofensywny pomocnik,
295495,mateusz-wdowiak,Mateusz Wdowiak,Krakow,28.08.1996,Polska,1.74,Lewy napastnik,BMG-SPORT
52435,przemyslaw-oziebala,Przemyslaw Oziebala,Kozieglowy,24.08.1986,Polska,1.80,Prawy napastnik,
714021,michal-litwa,Michal Litwa,,19.04.2004,Polska,1.83,Prawy napastnik,
67064,felicio-brown-forbes,Felicio Ananda Brown Forbes,Berlin,28.08.1991,Kostaryka,1.89,Srodkowy napastnik,
192710,vladislavs-gutkovskis,,Riga,2.04.1995,Lotwa,1.87,Srodkowy napastnik,
267152,sebastian-musiolik,Sebastian Karol Musiolik,Knurow,19.05.1996,Polska,1.93,Srodkowy napastnik,INNfootball
241826,jakub-arak,Jakub Arak,Warszawa,2.04.1995,Polska,1.83,Srodkowy napastnik,
232015,oskar-zawada,,Olsztyn,1.02.1996,Polska,1.92,Srodkowy napastnik,
474243,jakub-bator,,Dabrowa Tarnowska,,Polska,1.75,Srodkowy napastnik,
86635,dante-stipica,Dante Stipica,Split,30.05.1991,Chorwacja,1.89,Bramkarz,
384359,jakub-bursztyn,Jakub Bursztyn,Gorzow Wielkopolski,25.03.1998,Polska,1.86,Bramkarz,
534948,dariusz-krzysztofek,Dariusz Krzysztofek,Police,9.04.2000,Polska,1.90,Bramkarz,
717910,marcel-mendes,Marcel Mendes-Dudzinski,Szczecin,14.05.2005,Polska,1.93,Bramkarz,CAA Stellar
185691,konstantinos-triantafyllopoulos,Konstantinos Triantaphullopoulos,Korinth,3.04.1993,Grecja,1.85,Srodkowy obronca,
